24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:31:29 | GET | cafeteria-api/categorias
31-03-2026 18:34:03 | GET | cafeteria-api/categorias
31-03-2026 18:34:43 | GET | cafeteria-api/categorias
31-03-2026 19:10:23 | GET | cafeteria-api/categorias
31-03-2026 19:10:35 | GET | cafeteria-api/categorias
31-03-2026 19:13:08 | GET | cafeteria-api/categorias
31-03-2026 19:13:15 | GET | cafeteria-api/categorias
31-03-2026 19:13:17 | GET | cafeteria-api/categorias
31-03-2026 19:35:05 | GET | cafeteria-api/categorias
31-03-2026 19:35:07 | GET | cafeteria-api/categorias
31-03-2026 19:35:08 | GET | cafeteria-api/categorias
31-03-2026 19:35:12 | GET | cafeteria-api/categorias
31-03-2026 19:35:13 | GET | cafeteria-api/categorias
31-03-2026 19:35:14 | GET | cafeteria-api/categorias
31-03-2026 19:36:08 | GET | cafeteria-api/categorias
31-03-2026 19:37:10 | GET | cafeteria-api/produtos
31-03-2026 19:37:19 | GET | cafeteria-api/produtos
31-03-2026 19:38:16 | GET | cafeteria-api/produtos
31-03-2026 19:38:22 | GET | cafeteria-api/produtos
31-03-2026 19:39:32 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
31-03-2026 19:39:34 | GET | cafeteria-api/produtos
31-03-2026 19:39:34 | GET | cafeteria-api/produtos
31-03-2026 19:39:34 | GET | cafeteria-api/produtos
31-03-2026 19:39:34 | GET | cafeteria-api/produtos
31-03-2026 19:39:35 | GET | cafeteria-api/produtos
31-03-2026 19:39:35 | GET | cafeteria-api/produtos
31-03-2026 19:39:35 | GET | cafeteria-api/produtos
31-03-2026 19:39:36 | GET | cafeteria-api/produtos
31-03-2026 19:39:36 | GET | cafeteria-api/produtos
31-03-2026 19:39:36 | GET | cafeteria-api/produtos
31-03-2026 19:39:36 | GET | cafeteria-api/produtos
31-03-2026 19:39:37 | GET | cafeteria-api/produtos
31-03-2026 19:39:39 | GET | cafeteria-api/produtos
31-03-2026 19:39:41 | GET | cafeteria-api/produtos
31-03-2026 19:39:41 | GET | cafeteria-api/produtos
31-03-2026 19:39:41 | GET | cafeteria-api/produtos
31-03-2026 19:39:42 | GET | cafeteria-api/produtos
31-03-2026 19:39:42 | GET | cafeteria-api/produtos
31-03-2026 19:39:42 | GET | cafeteria-api/categorias
31-03-2026 19:39:43 | GET | cafeteria-api/produtos
31-03-2026 19:39:44 | GET | cafeteria-api/categorias
31-03-2026 19:39:44 | GET | cafeteria-api/produtos
31-03-2026 19:39:45 | GET | cafeteria-api/categorias
31-03-2026 19:39:45 | GET | cafeteria-api/produtos
31-03-2026 19:39:46 | GET | cafeteria-api/categorias
31-03-2026 19:39:46 | GET | cafeteria-api/produtos
31-03-2026 19:39:46 | GET | cafeteria-api/categorias
31-03-2026 19:39:47 | GET | cafeteria-api/categorias
31-03-2026 19:39:47 | GET | cafeteria-api/produtos
31-03-2026 19:39:48 | GET | cafeteria-api/categorias
31-03-2026 19:39:48 | GET | cafeteria-api/produtos
31-03-2026 19:39:49 | GET | cafeteria-api/categorias
31-03-2026 19:40:01 | GET | cafeteria-api/produtos
31-03-2026 19:42:34 | GET | cafeteria-api/produtos
31-03-2026 19:46:37 | GET | cafeteria-api/produtos
31-03-2026 19:46:44 | GET | cafeteria-api/produtos
31-03-2026 19:47:04 | GET | cafeteria-api/produtos
31-03-2026 19:48:32 | GET | cafeteria-api/produtos
31-03-2026 19:48:32 | GET | cafeteria-api/produtos
31-03-2026 19:48:32 | GET | cafeteria-api/produtos
31-03-2026 19:48:33 | GET | cafeteria-api/produtos
31-03-2026 19:48:33 | GET | cafeteria-api/produtos
31-03-2026 19:48:33 | GET | cafeteria-api/produtos
31-03-2026 19:48:33 | GET | cafeteria-api/produtos
31-03-2026 19:48:34 | GET | cafeteria-api/produtos
31-03-2026 19:48:34 | GET | cafeteria-api/produtos
31-03-2026 19:48:34 | GET | cafeteria-api/produtos
31-03-2026 19:48:34 | GET | cafeteria-api/produtos
31-03-2026 19:48:34 | GET | cafeteria-api/produtos
31-03-2026 19:48:35 | GET | cafeteria-api/produtos
31-03-2026 19:48:35 | GET | cafeteria-api/produtos
31-03-2026 19:48:35 | GET | cafeteria-api/produtos
31-03-2026 19:54:03 | GET | cafeteria-api/produtos
31-03-2026 19:55:23 | GET | cafeteria-api/produtos
31-03-2026 19:55:56 | GET | cafeteria-api/produtos
31-03-2026 19:56:43 | GET | cafeteria-api/produtos
31-03-2026 19:57:09 | GET | cafeteria-api/produtos
31-03-2026 19:57:35 | GET | cafeteria-api/produtos
31-03-2026 19:59:01 | GET | cafeteria-api/produtos
31-03-2026 19:59:20 | GET | cafeteria-api/produtos
31-03-2026 19:59:20 | GET | cafeteria-api/produtos
31-03-2026 19:59:20 | GET | cafeteria-api/produtos
31-03-2026 19:59:21 | GET | cafeteria-api/produtos
31-03-2026 19:59:21 | GET | cafeteria-api/produtos
31-03-2026 19:59:21 | GET | cafeteria-api/produtos
31-03-2026 19:59:21 | GET | cafeteria-api/produtos
31-03-2026 20:04:19 | GET | cafeteria-api/produtos
31-03-2026 20:04:33 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:34 | GET | cafeteria-api/produtos
31-03-2026 20:04:35 | GET | cafeteria-api/produtos
31-03-2026 20:04:35 | GET | cafeteria-api/produtos
31-03-2026 20:04:35 | GET | cafeteria-api/produtos
31-03-2026 20:06:16 | GET | cafeteria-api/produtos
31-03-2026 20:06:26 | GET | cafeteria-api/produtos
31-03-2026 20:06:26 | GET | cafeteria-api/produtos
31-03-2026 20:06:26 | GET | cafeteria-api/produtos
31-03-2026 20:06:26 | GET | cafeteria-api/produtos
